epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1084.94,1.02538,0.08488,0.05904,0.49627,1.17017,0.97606,0.9833,0.98118,0.58301,0.97951,0.98678,0.98592,0.98415,1.48517,0.06372,0.00199,0.48326,1.52347,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
32,1118.94,1.01285,0.07908,0.05807,0.48955,1.16481,0.97183,0.9826,0.97893,0.58042,0.97912,0.98887,0.98673,0.98419,1.4842,0.06149,0.0025,0.47695,1.5427,0.0047724,0.0015908,0.0047724,0.0015908,0.0047724,0.0015908,0.0047724,0.0015908
33,1152.56,0.98955,0.07669,0.05466,0.47889,1.14994,0.97242,0.98191,0.97865,0.57918,0.97929,0.98729,0.98638,0.98373,1.51044,0.0636,0.00152,0.4805,1.55987,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776
34,1186.54,0.99106,0.0768,0.05644,0.48023,1.15099,0.97213,0.9826,0.97595,0.58012,0.97972,0.99026,0.98724,0.98559,1.51654,0.06209,0.00217,0.4868,1.59001,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
35,1220.52,0.9834,0.08285,0.05525,0.47107,1.14663,0.97652,0.98405,0.98352,0.58584,0.9786,0.98634,0.98786,0.98619,1.49278,0.0608,0.00241,0.47927,1.57186,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512
36,1254.44,0.966,0.07921,0.05771,0.47278,1.13434,0.97452,0.98492,0.98229,0.58468,0.97754,0.98956,0.98702,0.98579,1.48117,0.05941,0.00183,0.47636,1.57191,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
37,1288.32,0.9609,0.07613,0.0532,0.46917,1.13896,0.97309,0.97982,0.97855,0.58569,0.97851,0.98887,0.98641,0.9846,1.49259,0.06056,0.00166,0.47038,1.56604,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
38,1322.43,0.94736,0.07631,0.05583,0.46106,1.12119,0.97585,0.97843,0.97589,0.58164,0.97466,0.99016,0.98546,0.98312,1.49298,0.06102,0.00309,0.48021,1.57125,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116
39,1356.32,0.93684,0.0788,0.05488,0.46086,1.12058,0.97845,0.98051,0.98158,0.5871,0.97785,0.98956,0.98764,0.98628,1.49716,0.05941,0.002,0.47302,1.58117,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984
40,1390.33,0.92729,0.07216,0.05378,0.45456,1.11511,0.97383,0.98389,0.97923,0.58513,0.97865,0.98876,0.98509,0.9834,1.49171,0.05935,0.00239,0.47548,1.57527,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
41,1424.15,0.9222,0.07424,0.05383,0.45371,1.11144,0.97514,0.9833,0.98037,0.58217,0.97864,0.98855,0.98636,0.98464,1.48621,0.0616,0.00197,0.4771,1.5699,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
42,1458.39,0.91099,0.07172,0.05442,0.45272,1.10507,0.97408,0.9826,0.97792,0.57711,0.97528,0.98829,0.9839,0.98238,1.49957,0.05803,0.00219,0.47624,1.60811,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588
