epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1221.6,1.11127,0.09156,0.05969,0.54549,1.24414,0.95716,0.97695,0.97131,0.56229,0.96641,0.98339,0.97976,0.9756,1.52604,0.07281,0.00266,0.53385,1.45897,0.001406,0.001406,0.001406
47,1248.14,1.11024,0.09118,0.06042,0.54952,1.23774,0.96071,0.98251,0.97403,0.56978,0.96449,0.98649,0.9784,0.97493,1.51545,0.06683,0.00169,0.51757,1.45857,0.0013928,0.0013928,0.0013928
48,1274.66,1.08983,0.08548,0.0603,0.53066,1.21655,0.95045,0.97695,0.96768,0.54086,0.96673,0.98728,0.98021,0.97475,1.60842,0.07106,0.00432,0.54408,1.52819,0.0013796,0.0013796,0.0013796
49,1301.16,1.08646,0.08859,0.06166,0.53467,1.21765,0.95667,0.98013,0.96891,0.52884,0.96637,0.98227,0.97893,0.97228,1.62852,0.07453,0.00265,0.53943,1.53606,0.0013664,0.0013664,0.0013664
50,1327.67,1.08746,0.09098,0.06251,0.5355,1.21804,0.96054,0.97536,0.9703,0.52746,0.96429,0.98746,0.97968,0.97467,1.61311,0.06451,0.00252,0.53853,1.52558,0.0013532,0.0013532,0.0013532
51,1354.13,1.0679,0.08939,0.06058,0.52596,1.20526,0.95717,0.97536,0.96775,0.5188,0.96205,0.98729,0.98057,0.9735,1.69962,0.0681,0.00267,0.5526,1.58162,0.00134,0.00134,0.00134
52,1380.62,1.07083,0.08661,0.06079,0.53296,1.20891,0.95534,0.9693,0.96662,0.4955,0.96945,0.98382,0.98218,0.9776,1.78295,0.07874,0.00256,0.59166,1.68152,0.0013268,0.0013268,0.0013268
53,1407.16,1.07894,0.08388,0.06305,0.52875,1.22082,0.9626,0.98201,0.97054,0.54505,0.96581,0.98805,0.97956,0.97399,1.56887,0.07007,0.00207,0.52911,1.50452,0.0013136,0.0013136,0.0013136
54,1433.65,1.03834,0.08204,0.06093,0.51856,1.19167,0.95874,0.97615,0.97272,0.54442,0.96655,0.9841,0.98242,0.97712,1.63488,0.07691,0.00386,0.54662,1.56371,0.0013004,0.0013004,0.0013004
55,1460.15,1.0313,0.08331,0.05628,0.51526,1.18667,0.95481,0.97218,0.96744,0.52623,0.96893,0.98808,0.9784,0.97371,1.67449,0.0771,0.00297,0.55267,1.5956,0.0012872,0.0012872,0.0012872
