epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1004.07,1.07575,0.08914,0.05876,0.53468,1.20856,0.95944,0.9779,0.97265,0.53964,0.96491,0.98378,0.98104,0.97728,1.66184,0.07115,0.00176,0.55033,1.56777,0.0014852,0.0014852,0.0014852
41,1029.07,1.05439,0.08868,0.06355,0.53055,1.19378,0.9561,0.97615,0.97008,0.55381,0.96271,0.98507,0.98147,0.97482,1.57528,0.06869,0.00213,0.53357,1.52141,0.001472,0.001472,0.001472
42,1054.06,1.04048,0.08897,0.06369,0.52418,1.18464,0.9591,0.96025,0.97025,0.55489,0.96257,0.97933,0.98015,0.97556,1.60318,0.07019,0.0019,0.54123,1.54499,0.0014588,0.0014588,0.0014588
43,1079.02,1.02735,0.08452,0.05831,0.51704,1.17707,0.95572,0.97854,0.97354,0.53375,0.96387,0.98808,0.98157,0.97812,1.63023,0.07456,0.00178,0.54134,1.57409,0.0014456,0.0014456,0.0014456
44,1103.93,1.02266,0.08335,0.05787,0.51334,1.17729,0.95958,0.98119,0.97259,0.56228,0.96346,0.98507,0.97988,0.97469,1.59618,0.06864,0.00201,0.53838,1.54789,0.0014324,0.0014324,0.0014324
45,1128.84,1.01788,0.08335,0.06064,0.51255,1.17025,0.94972,0.969,0.9615,0.49056,0.9647,0.9849,0.98152,0.97498,1.79451,0.08337,0.00178,0.59532,1.7158,0.0014192,0.0014192,0.0014192
46,1153.77,1.01456,0.08692,0.05846,0.5135,1.17375,0.96155,0.97854,0.97158,0.55243,0.96509,0.98251,0.98095,0.97461,1.56395,0.06962,0.00178,0.54221,1.52604,0.001406,0.001406,0.001406
47,1178.67,1.00344,0.0851,0.05791,0.51216,1.17211,0.9618,0.98068,0.97087,0.52006,0.96688,0.98728,0.98294,0.97685,1.66335,0.07248,0.00153,0.55184,1.62612,0.0013928,0.0013928,0.0013928
48,1203.67,0.99063,0.08278,0.05876,0.50425,1.1542,0.95865,0.97687,0.9745,0.5279,0.96722,0.98509,0.98325,0.97954,1.67491,0.07304,0.00185,0.56536,1.62333,0.0013796,0.0013796,0.0013796
49,1228.63,0.98479,0.07937,0.05767,0.49806,1.15789,0.959,0.98013,0.97218,0.53278,0.96423,0.98572,0.98136,0.97697,1.62021,0.0695,0.00099,0.54482,1.58826,0.0013664,0.0013664,0.0013664
50,1253.53,0.9537,0.08145,0.05856,0.48944,1.13964,0.95733,0.97456,0.97117,0.52302,0.96564,0.98302,0.98205,0.97692,1.69315,0.07278,0.00148,0.5653,1.65886,0.0013532,0.0013532,0.0013532
51,1278.47,0.95524,0.07971,0.05777,0.48804,1.13331,0.95782,0.97297,0.96846,0.51263,0.96878,0.9841,0.98326,0.97669,1.75908,0.0706,0.00282,0.60119,1.74024,0.00134,0.00134,0.00134
52,1303.4,0.94712,0.07632,0.05818,0.49158,1.13328,0.95885,0.97456,0.97418,0.54853,0.96667,0.98251,0.98227,0.97759,1.63348,0.06989,0.001,0.54699,1.62483,0.0013268,0.0013268,0.0013268
53,1328.38,0.94081,0.07814,0.05583,0.48436,1.12603,0.94991,0.97989,0.97429,0.5234,0.96137,0.98903,0.98133,0.97749,1.70485,0.07317,0.00172,0.55302,1.68383,0.0013136,0.0013136,0.0013136
54,1353.34,0.93497,0.08081,0.05793,0.48374,1.12912,0.95558,0.97473,0.97648,0.52554,0.96349,0.98595,0.98283,0.97835,1.72103,0.0792,0.00169,0.55171,1.70098,0.0013004,0.0013004,0.0013004
55,1378.32,0.91668,0.07433,0.05291,0.4787,1.1118,0.95289,0.97218,0.96447,0.49558,0.96381,0.98331,0.97867,0.97296,1.78507,0.07281,0.00265,0.5989,1.7583,0.0012872,0.0012872,0.0012872
56,1403.23,0.92423,0.07419,0.05318,0.48122,1.11621,0.95913,0.97774,0.96647,0.53562,0.96208,0.98829,0.97715,0.97217,1.64665,0.0663,0.00279,0.54053,1.64466,0.001274,0.001274,0.001274
57,1428.2,0.90159,0.0725,0.05412,0.46958,1.0997,0.95735,0.97456,0.96739,0.52179,0.96705,0.97998,0.98084,0.97703,1.73579,0.07813,0.0035,0.57694,1.70957,0.0012608,0.0012608,0.0012608
58,1454.17,0.90549,0.07897,0.05637,0.47286,1.1104,0.95881,0.98061,0.97009,0.52088,0.96501,0.9867,0.98051,0.9758,1.75592,0.0768,0.00165,0.55864,1.75944,0.0012476,0.0012476,0.0012476
59,1479.16,0.89332,0.07462,0.05365,0.46924,1.09676,0.95645,0.97775,0.97094,0.54974,0.96551,0.9849,0.98057,0.97512,1.63914,0.0821,0.00168,0.5603,1.648,0.0012344,0.0012344,0.0012344
60,1504.13,0.88468,0.07343,0.05278,0.46192,1.09649,0.95482,0.97432,0.97238,0.53629,0.96686,0.98251,0.98204,0.97806,1.68846,0.07466,0.00304,0.5531,1.67431,0.0012212,0.0012212,0.0012212
61,1529.1,0.88093,0.07287,0.05106,0.45886,1.09259,0.96073,0.97854,0.97454,0.56024,0.95618,0.98967,0.98016,0.97577,1.56159,0.06455,0.00211,0.53371,1.58125,0.001208,0.001208,0.001208
62,1554.03,0.87167,0.06866,0.05302,0.46301,1.09153,0.94705,0.97774,0.96898,0.50627,0.9593,0.98728,0.98366,0.98021,1.73139,0.07311,0.00147,0.57379,1.76013,0.0011948,0.0011948,0.0011948
63,1578.9,0.87462,0.07184,0.054,0.45925,1.08767,0.95485,0.97512,0.97001,0.52215,0.96342,0.98402,0.98232,0.97775,1.68148,0.06934,0.00166,0.55393,1.72556,0.0011816,0.0011816,0.0011816
64,1603.84,0.86264,0.0733,0.05865,0.46137,1.08943,0.96168,0.97751,0.9755,0.54244,0.96568,0.98092,0.98183,0.97786,1.6192,0.06809,0.00143,0.541,1.66417,0.0011684,0.0011684,0.0011684
65,1628.83,0.84591,0.06802,0.05401,0.44822,1.07677,0.95084,0.9839,0.97138,0.52738,0.95621,0.98946,0.98263,0.97746,1.67647,0.07773,0.00126,0.56767,1.72226,0.0011552,0.0011552,0.0011552
