epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,693.683,1.09163,0.09589,0.06444,0.54891,1.21878,0.95725,0.98243,0.97161,0.56109,0.96067,0.98594,0.97668,0.97234,1.54504,0.08093,0.00186,0.52781,1.44749,0.0015248,0.0015248,0.0015248
38,712.327,1.067,0.09305,0.06496,0.53541,1.20643,0.94802,0.96837,0.95878,0.48495,0.95327,0.98585,0.97888,0.97049,1.72676,0.09416,0.00305,0.56924,1.60284,0.0015116,0.0015116,0.0015116
39,731.043,1.04213,0.09226,0.06094,0.52701,1.18563,0.95296,0.96133,0.95581,0.4987,0.96025,0.97651,0.97041,0.96519,1.66367,0.08905,0.00244,0.55455,1.55413,0.0014984,0.0014984,0.0014984
40,749.716,1.04378,0.0943,0.06142,0.52903,1.19148,0.95467,0.98084,0.96625,0.53896,0.95809,0.98426,0.97958,0.97243,1.56873,0.08601,0.00314,0.52618,1.48433,0.0014852,0.0014852,0.0014852
41,768.417,1.03098,0.09321,0.06382,0.52435,1.18865,0.94068,0.96157,0.95305,0.43226,0.9641,0.97188,0.97662,0.97017,1.89631,0.09929,0.00215,0.61326,1.76349,0.001472,0.001472,0.001472
42,787.104,1.025,0.09005,0.06251,0.52254,1.17563,0.95932,0.97402,0.96826,0.51241,0.9628,0.9833,0.98046,0.97414,1.64963,0.0899,0.00194,0.5497,1.56204,0.0014588,0.0014588,0.0014588
43,805.794,1.02365,0.08912,0.05999,0.52011,1.177,0.95659,0.96661,0.96642,0.51564,0.95699,0.9833,0.97699,0.97246,1.67171,0.08536,0.0018,0.55525,1.59042,0.0014456,0.0014456,0.0014456
44,824.429,1.03465,0.09109,0.06136,0.52616,1.18173,0.946,0.96989,0.96559,0.47776,0.96281,0.97012,0.97781,0.97221,1.78061,0.09727,0.00238,0.58406,1.67022,0.0014324,0.0014324,0.0014324
45,843.035,1.01757,0.08835,0.05936,0.52029,1.17351,0.95863,0.97012,0.96694,0.52667,0.96449,0.97844,0.97982,0.97391,1.6436,0.08301,0.00145,0.55785,1.55771,0.0014192,0.0014192,0.0014192
46,861.695,0.97996,0.09134,0.06101,0.50079,1.1539,0.95185,0.97279,0.96553,0.51126,0.9578,0.98858,0.98064,0.97527,1.69348,0.08146,0.00194,0.56817,1.61193,0.001406,0.001406,0.001406
47,880.376,0.98107,0.08536,0.06155,0.50032,1.15241,0.95014,0.97118,0.96927,0.52197,0.96058,0.9833,0.98055,0.97475,1.6839,0.08485,0.00171,0.5589,1.61195,0.0013928,0.0013928,0.0013928
