epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1658.93,1.02196,0.08524,0.06037,0.52051,1.18657,0.96589,0.98569,0.9747,0.55362,0.9747,0.98757,0.98369,0.98026,1.55753,0.08801,0.003,0.51389,1.6109,0.0012344,0.0012344,0.0012344
60,1687.04,1.02797,0.08987,0.0601,0.51079,1.1893,0.96648,0.98073,0.97554,0.55099,0.97015,0.98446,0.98406,0.97755,1.57164,0.09021,0.00243,0.52393,1.6294,0.0012212,0.0012212,0.0012212
61,1715.07,1.00515,0.08188,0.05951,0.50643,1.17316,0.96728,0.98011,0.97776,0.56138,0.96872,0.98135,0.98356,0.97933,1.55398,0.08668,0.00439,0.51561,1.62866,0.001208,0.001208,0.001208
62,1743.18,1.01047,0.08771,0.06103,0.50959,1.17593,0.96536,0.98135,0.97619,0.56625,0.97025,0.98633,0.98262,0.97874,1.54103,0.08002,0.00422,0.51733,1.62089,0.0011948,0.0011948,0.0011948
63,1771.27,0.99498,0.08213,0.06021,0.50454,1.16699,0.96312,0.98073,0.97194,0.55263,0.97403,0.97914,0.98219,0.97712,1.58594,0.08125,0.00289,0.51212,1.64526,0.0011816,0.0011816,0.0011816
64,1799.39,0.97694,0.07954,0.05589,0.50188,1.15499,0.96221,0.98107,0.97332,0.53504,0.96646,0.98503,0.98244,0.97673,1.62852,0.08954,0.00435,0.52881,1.70102,0.0011684,0.0011684,0.0011684
65,1827.51,0.97436,0.0804,0.0592,0.49603,1.16418,0.97025,0.97825,0.97696,0.56241,0.97532,0.98257,0.98291,0.97935,1.56902,0.09013,0.00289,0.51412,1.65804,0.0011552,0.0011552,0.0011552
66,1855.62,0.98054,0.08217,0.06338,0.50556,1.16293,0.96918,0.98135,0.97627,0.5583,0.97299,0.98506,0.98244,0.97849,1.56839,0.07957,0.00334,0.52227,1.63619,0.001142,0.001142,0.001142
67,1883.69,0.97181,0.08166,0.05959,0.49444,1.15535,0.96991,0.98135,0.97004,0.56197,0.9712,0.98494,0.98064,0.97576,1.53183,0.08613,0.00277,0.51544,1.62049,0.0011288,0.0011288,0.0011288
68,1911.74,0.94805,0.07442,0.05517,0.48797,1.14104,0.96853,0.9754,0.97257,0.53546,0.97469,0.98133,0.9829,0.97845,1.61344,0.08483,0.00257,0.52977,1.70202,0.0011156,0.0011156,0.0011156
